"","id_student","dataplus","dualpane","forumng","glossary","homepage","htmlactivity","oucollaborate","oucontent","ouwiki","page","questionnaire","quiz","repeatactivity","resource","subpage","url","CMA","TMA","gender","region","highest_education","imd_band","age_band","num_of_prev_attempts","studied_credits","disability","final_result","date_registration.x","date_unregistration.x","date_registration.y","date_unregistration.y"
"18",71159,1,2,4.21511627906977,NA,5.125,1,2,7.99685534591195,1.47619047619048,1.75,1.44444444444444,9.74683544303798,NA,1.18823529411765,2.26760563380282,1.16216216216216,70.1428571428571,57.6,"M","North Region","Lower Than A Level","","35-55",0,60,"N","Pass",-44,NA,-44,NA
"19",74165,NA,NA,3.16216216216216,NA,3.75,1.5,1.1,6.04838709677419,2,1,NA,10.4655172413793,NA,1.0952380952381,1.43877551020408,1.30769230769231,91.7142857142857,81.8,"M","West Midlands Region","A Level or Equivalent","30-40%","0-35",0,60,"N","Pass",-72,NA,-72,NA
"20",75107,6.2,2,2.59878419452888,NA,5.73142857142857,2,1.8,5.66433566433566,4.07142857142857,1.11764705882353,1.13513513513514,5.21904761904762,NA,1.19444444444444,1.97029702970297,1.24444444444444,91.5714285714286,92.8,"M","North Region","Lower Than A Level","","35-55",0,60,"N","Distinction",-92,NA,-92,NA
"21",77692,NA,NA,3,NA,6.71428571428571,1.25,NA,11.2063492063492,3.22222222222222,1,1.5,10.0925925925926,NA,1.36842105263158,2.53846153846154,1.53333333333333,91.7142857142857,82.4,"M","Wales","HE Qualification","50-60%","35-55",0,60,"N","Pass",-46,NA,-46,NA
"22",77995,NA,NA,1.17647058823529,NA,2.9,NA,1.11764705882353,3.4047619047619,1.83333333333333,NA,NA,15.2702702702703,NA,1.33333333333333,1.53658536585366,1,74.5714285714286,71.25,"M","East Midlands Region","A Level or Equivalent","10-20","0-35",0,60,"N","Pass",-15,NA,-15,NA
"23",79610,NA,NA,5.72,NA,3.18478260869565,2,NA,5.71794871794872,4.8,NA,1.66666666666667,6.30827067669173,NA,1.26315789473684,1.99122807017544,1.27272727272727,68.4285714285714,86.6,"M","West Midlands Region","A Level or Equivalent","60-70%","0-35",0,60,"N","Pass",-61,NA,-61,NA
"24",80438,NA,NA,2.28671328671329,NA,5.47,1.5,1.28888888888889,3.7603305785124,1,1,NA,24.3768115942029,NA,1.17647058823529,1.75483870967742,1.15384615384615,96.7142857142857,69.75,"M","East Midlands Region","A Level or Equivalent","90-100%","0-35",0,120,"N","Pass",-86,NA,-86,NA
"25",82201,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,"F","London Region","Lower Than A Level","50-60%","0-35",1,60,"N","Fail",-16,NA,-16,NA
"26",84604,3,1,3.3006329113924,NA,6.64102564102564,1.16666666666667,1.35714285714286,7.75452716297787,2.625,1,1.08571428571429,7.14432989690722,NA,1.21666666666667,2.2626582278481,1.20833333333333,92.4285714285714,88.2,"F","North Region","A Level or Equivalent","60-70%","35-55",0,90,"N","Distinction",-79,NA,-79,NA
"27",85241,NA,NA,2.25,NA,3.0625,NA,NA,2.59259259259259,NA,1,NA,NA,NA,1.4,1.33333333333333,NA,NA,48,"M","South West Region","Lower Than A Level","50-60%","0-35",0,120,"Y","Withdrawn",-10,125,-10,125
"28",87264,5.61538461538461,6.5,3.699604743083,NA,7.53714285714286,1.25,1,7.30985915492958,1.95238095238095,1.4,1.20454545454545,9.81761006289308,NA,1.14285714285714,1.79328165374677,1.43859649122807,95.2857142857143,91.6,"M","South East Region","Lower Than A Level","30-40%","0-35",0,60,"N","Distinction",-36,NA,-36,NA
"29",87322,NA,NA,2.95774647887324,NA,3.97058823529412,1.2,2.625,4.6,1.42857142857143,1,NA,13.2272727272727,NA,1.15,1.55038759689922,1.14285714285714,75.8571428571429,78.25,"M","Wales","Lower Than A Level","50-60%","0-35",0,120,"Y","Pass",-28,NA,-28,NA
"30",91801,NA,NA,2.96907216494845,NA,4.91489361702128,1,NA,5.76712328767123,4.125,1,1.5,14.2857142857143,NA,2.72727272727273,2.26744186046512,1.08333333333333,62,76,"M","Yorkshire Region","Lower Than A Level","50-60%","35-55",1,60,"N","Withdrawn",-146,79,-146,79
"31",94749,NA,NA,1.90598290598291,NA,2.7,1,NA,7.21666666666667,2.66666666666667,1,1.5,12.8928571428571,NA,1.07142857142857,1.36046511627907,1,82.5,51.6666666666667,"M","Wales","Lower Than A Level","90-100%","0-35",0,60,"N","Fail",-22,NA,-22,NA
"32",98256,NA,NA,3.3469387755102,NA,3.42857142857143,1.66666666666667,NA,2.23076923076923,NA,NA,NA,3,NA,1.4,1.37037037037037,1,NA,68,"M","West Midlands Region","Lower Than A Level","40-50%","0-35",0,120,"N","Withdrawn",-101,12,-101,12
"33",101217,NA,NA,2.21739130434783,NA,2.25806451612903,1.25,1.66666666666667,1.43137254901961,1,1.66666666666667,NA,1,NA,1.3125,1.52307692307692,1.25,NA,68,"M","London Region","A Level or Equivalent","40-50%","35-55",2,60,"Y","Fail",-44,NA,-44,NA
"34",102854,2.83333333333333,2,2.16428571428571,NA,2.40686274509804,1,1.66666666666667,6.00537634408602,2.33333333333333,1.18181818181818,1.16666666666667,8.08064516129032,NA,1.18918918918919,1.54263565891473,1.07692307692308,88,91.4,"M","South East Region","Lower Than A Level","40-50%","0-35",0,60,"N","Distinction",-116,NA,-116,NA
"35",105125,NA,NA,2.16666666666667,1,4,1,1.5,6.33333333333333,3.21428571428571,NA,1.5,7.57142857142857,NA,1.25,1.27777777777778,1,NA,62,"M","Yorkshire Region","Lower Than A Level","0-10%","0-35",0,60,"N","Withdrawn",-61,47,-61,47
"36",105939,2,1,1.98214285714286,NA,4.41414141414141,1.33333333333333,NA,6.96938775510204,2.07692307692308,1.125,1.125,9.71641791044776,NA,1.0952380952381,1.51612903225806,1,78.4285714285714,79,"M","North Region","A Level or Equivalent","70-80%","0-35",0,60,"N","Pass",-50,NA,-50,NA
"37",107455,NA,NA,3.3030303030303,NA,3.57446808510638,1.8,NA,5.81818181818182,NA,2,NA,7.83333333333333,NA,1.23529411764706,2.14529914529915,1.26666666666667,NA,71.8,"M","Ireland","HE Qualification","50-60%","0-35",0,120,"N","Fail",-22,NA,-22,NA
"38",108949,NA,NA,NA,NA,1.77777777777778,NA,NA,1.47368421052632,1.5,NA,NA,NA,NA,1,1.24,1,NA,79.75,"M","North Western Region","Lower Than A Level","10-20","0-35",2,60,"N","Fail",-60,NA,-60,NA
"39",109577,NA,NA,2.66666666666667,NA,3.63793103448276,1,NA,5.54237288135593,1,2,NA,12.4081632653061,NA,1.26666666666667,1.5462962962963,1.33333333333333,73.8571428571429,71.25,"M","North Western Region","A Level or Equivalent","70-80%","0-35",0,120,"N","Pass",-50,NA,-50,NA
"40",110820,NA,NA,2.88571428571429,NA,3.5,1,1,5.44642857142857,2.5,NA,1.5,6.76190476190476,NA,1.33333333333333,1.41791044776119,1.16666666666667,86,76,"M","East Anglian Region","A Level or Equivalent","40-50%","0-35",0,60,"Y","Withdrawn",-108,90,-108,90
"41",113702,NA,NA,2.88888888888889,1,5.46031746031746,1.75,1,5.1970802919708,5.24,1,1.5,4.69444444444444,NA,1.27272727272727,1.8448275862069,1.16666666666667,70,92,"M","Ireland","A Level or Equivalent","60-70%","0-35",0,60,"N","Withdrawn",-10,115,-10,115
"42",116529,NA,NA,NA,NA,1.85714285714286,NA,NA,3.5,NA,1,NA,1.75,NA,NA,1.2,1,93,84.6666666666667,"M","West Midlands Region","Lower Than A Level","30-40%","0-35",1,120,"N","Fail",-46,NA,-46,NA
"43",119310,2,NA,3.43689320388349,2.33333333333333,3.57142857142857,3,2,7.57983193277311,1,1.5,1.5,11,NA,1.30508474576271,1.82307692307692,1.18181818181818,77,79.4,"M","North Western Region","Lower Than A Level","20-30%","0-35",0,150,"N","Pass",-57,NA,-57,NA
"44",119865,NA,NA,3.38095238095238,NA,3.5,1,4,4.20481927710843,1,1,1.42857142857143,14.5,NA,1,1.515625,1.27272727272727,91.7142857142857,87,"M","South West Region","A Level or Equivalent","30-40%","0-35",0,60,"N","Distinction",-37,NA,-37,NA
"45",125063,5.625,NA,4.11206896551724,NA,4.21904761904762,1.14285714285714,1.9,8.16022099447514,2.52380952380952,1.375,1.03571428571429,10.6969696969697,NA,1.26923076923077,1.83125,1.51851851851852,79.8571428571429,77.4,"M","London Region","Lower Than A Level","60-70%","35-55",0,60,"N","Fail",-136,NA,-136,NA
"46",127179,NA,NA,1.92307692307692,NA,7.375,1,NA,7.80769230769231,3,NA,NA,1,NA,1.25,2.28571428571429,1.25,NA,69,"M","South West Region","A Level or Equivalent","0-10%","0-35",0,60,"N","Withdrawn",-81,12,-81,12
"47",129907,2.25,1,4.06106870229008,NA,6.26027397260274,1.66666666666667,1,7.63519313304721,3.06666666666667,1.11111111111111,1.13636363636364,8.57777777777778,NA,1.20833333333333,2.35911602209945,1.30769230769231,86.4285714285714,89.6,"M","East Anglian Region","HE Qualification","90-100%","35-55",0,60,"N","Distinction",-18,NA,-18,NA
"48",130409,NA,NA,1.72222222222222,1,3.91111111111111,1,1,3.66666666666667,1,NA,NA,11.6081081081081,NA,1.45454545454545,1.74528301886792,1,78.2857142857143,50.8,"M","South East Region","Lower Than A Level","20-30%","0-35",0,60,"Y","Pass",-143,NA,-143,NA
"49",131597,NA,1,1.93693693693694,NA,5.91666666666667,1,1,7.47272727272727,1.5,1,1.125,13.5813953488372,NA,1.05555555555556,1.49579831932773,1.25,74.5714285714286,72,"M","Scotland","A Level or Equivalent","40-50%","0-35",0,430,"N","Pass",-52,NA,-52,NA
"50",132423,NA,NA,4.07692307692308,NA,7.11111111111111,1.33333333333333,1,5.52941176470588,1.5,NA,NA,3.83333333333333,NA,1.75,1.6,NA,NA,92,"M","London Region","A Level or Equivalent","40-50%","0-35",0,240,"N","Withdrawn",-21,12,-21,12
"51",132475,2.5,NA,2.76335877862595,1,4.04838709677419,1,2.625,4.84126984126984,4.66666666666667,1,1,8.10377358490566,NA,1.64583333333333,1.75,1.20689655172414,77.2857142857143,73.2,"F","Scotland","HE Qualification","20-30%","0-35",0,60,"N","Pass",-100,NA,-100,NA
"52",135280,2,1,9.55952380952381,7,4.63157894736842,1.5,1,2.04245283018868,2.4,1,1.11111111111111,9.22916666666667,NA,1.17142857142857,2.35294117647059,1.1304347826087,91.8571428571429,89.8,"M","North Region","Lower Than A Level","","0-35",0,120,"N","Distinction",-23,NA,-23,NA
"53",136944,NA,NA,3.18181818181818,NA,2,1.5,1,6.95833333333333,6,NA,NA,12.5714285714286,NA,1.14285714285714,1.38095238095238,1.28571428571429,89,NA,"M","Scotland","A Level or Equivalent","40-50%","0-35",1,90,"N","Pass",-15,NA,-15,NA
"54",139206,3.4,1.5,4.29545454545455,4,3.69014084507042,1.5,NA,7.28700906344411,3.27272727272727,1,1.125,6.3030303030303,NA,1.33333333333333,1.91428571428571,1.24324324324324,89.2857142857143,86.2,"M","Wales","Lower Than A Level","30-40%","0-35",0,60,"N","Distinction",-23,NA,-23,NA
"55",142310,3.75,NA,2.13888888888889,NA,3.71014492753623,1,NA,7.12422360248447,2.09090909090909,1.33333333333333,1.0625,10.2372881355932,NA,1.14285714285714,1.63636363636364,1.26666666666667,85.2857142857143,76.4,"M","Scotland","A Level or Equivalent","40-50%","0-35",0,180,"N","Pass",-94,NA,-94,NA
"56",143755,1,1,3.034375,1,5.79207920792079,1,1.59090909090909,4.97154471544715,2.61904761904762,1.09090909090909,1.57142857142857,11.1089108910891,NA,1.22033898305085,1.72522522522523,1.06521739130435,89.5714285714286,93.3333333333333,"F","East Midlands Region","Lower Than A Level","50-60%","35-55",0,60,"N","Pass",-144,NA,-144,NA
"57",144959,NA,NA,1.66666666666667,NA,2,NA,NA,5.05882352941176,NA,NA,NA,12.4285714285714,NA,1,1.375,1,76,68,"M","Ireland","A Level or Equivalent","90-100%","0-35",1,90,"N","Withdrawn",-11,188,-11,188
"58",149178,NA,NA,3.19444444444444,1,4.07079646017699,1,2.33333333333333,5.125,3.25,1,NA,11.8135593220339,NA,1.16666666666667,1.66666666666667,1,72.2857142857143,88,"M","London Region","A Level or Equivalent","0-10%","0-35",0,60,"N","Pass",-18,NA,-18,NA
"59",149964,NA,NA,4.11111111111111,NA,1.88888888888889,1,NA,1.45454545454545,NA,1,NA,14,NA,1.33333333333333,2.1875,1,79,NA,"M","East Anglian Region","Lower Than A Level","70-80%","0-35",0,240,"N","Withdrawn",-75,NA,-75,NA
"60",150282,NA,NA,2.82051282051282,NA,2.59375,1.25,1,5.09090909090909,NA,1,NA,11.7966101694915,NA,1.07692307692308,1.79166666666667,1.3,74.2857142857143,82.4,"M","Ireland","A Level or Equivalent","80-90%","0-35",0,60,"N","Pass",-16,NA,-16,NA
"61",152524,3.36363636363636,NA,3.46053853296193,NA,10.8131868131868,1.16666666666667,NA,4.22727272727273,1.87096774193548,1.25,1.18421052631579,6.70992366412214,NA,1.11764705882353,1.73722627737226,1.06818181818182,91.4285714285714,92,"M","West Midlands Region","A Level or Equivalent","70-80%","35-55",0,120,"N","Distinction",-94,NA,-94,NA
"62",152917,3.6,1,3.75806451612903,1,6.18354430379747,1.16666666666667,1.5,6.61346633416459,2.19047619047619,1.08333333333333,1.11111111111111,12.6470588235294,NA,1.2280701754386,1.81742738589212,1.33333333333333,90.5714285714286,87.4,"M","North Western Region","A Level or Equivalent","20-30%","35-55",0,150,"Y","Distinction",-56,NA,-56,NA
"63",155938,NA,NA,2.16901408450704,NA,4.29787234042553,1.5,NA,5.64102564102564,3.125,1,NA,9.79411764705882,NA,1.08695652173913,1.71111111111111,1.22222222222222,81.7142857142857,85.2,"M","South Region","A Level or Equivalent","","0-35",0,60,"N","Pass",-102,NA,-102,NA
"64",157225,NA,NA,2.4,NA,6.30434782608696,1.4,3,5.48780487804878,2,1,1.5,2.75,NA,1.18518518518519,1.91358024691358,1,NA,76,"M","South East Region","A Level or Equivalent","60-70%","35-55",0,150,"N","Withdrawn",-34,128,-34,128
"65",159906,NA,NA,2.5,NA,3.51351351351351,1,2.71428571428571,3.875,2,1,1.5,11.8,NA,1.07692307692308,1.81609195402299,1,81.7142857142857,67,"M","East Midlands Region","Lower Than A Level","70-80%","35-55",0,60,"N","Pass",-64,NA,-64,NA
"66",159947,2,1,3.78974358974359,NA,4.18556701030928,2.33333333333333,NA,5.67132867132867,2.69230769230769,1.33333333333333,1.33333333333333,6.94736842105263,NA,1.36842105263158,1.87943262411348,1.51282051282051,93,72.2,"M","Wales","HE Qualification","10-20","35-55",0,120,"N","Fail",-14,NA,-14,NA
"67",164148,2,2,2.55339805825243,NA,4.57446808510638,1.5,1,6.54430379746835,4.11111111111111,1,1.33333333333333,6.43229166666667,NA,2,1.98775510204082,1.28571428571429,94.5714285714286,84.6,"F","North Region","A Level or Equivalent","10-20","0-35",0,60,"N","Pass",-46,NA,-46,NA
"68",166123,2,NA,3.30555555555556,NA,3.85106382978723,2,4,7.41758241758242,2.88888888888889,1.2,1.2,8.63513513513514,NA,1.25,1.72549019607843,1.5,78.1428571428571,72,"M","East Anglian Region","Lower Than A Level","90-100%","0-35",0,60,"N","Pass",-28,NA,-28,NA
"69",169596,NA,NA,4.76315789473684,NA,2.42391304347826,1.25,NA,3.63636363636364,4.44444444444444,1.09090909090909,2,1.71428571428571,NA,1.22222222222222,1.52542372881356,1.36363636363636,NA,72,"M","West Midlands Region","Lower Than A Level","80-90%","35-55",2,90,"N","Fail",-14,NA,-14,NA
"70",170874,NA,NA,2.13333333333333,NA,3.125,1,1.25,5.22727272727273,1.5,1,NA,12.1851851851852,NA,1.46666666666667,1.65873015873016,1.11111111111111,61,56.4,"M","North Region","A Level or Equivalent","20-30%","0-35",0,60,"N","Pass",-89,NA,-89,NA
"71",171692,NA,NA,3.5,NA,2.3,NA,1,2.11764705882353,NA,NA,NA,NA,NA,1.57142857142857,1.60869565217391,NA,NA,25.6666666666667,"F","Wales","A Level or Equivalent","0-10%","0-35",1,150,"N","Withdrawn",19,153,19,153
"72",172493,2.625,2,1.94366197183099,NA,4.08547008547009,1,2,7.48449612403101,2.1,1,1.11764705882353,9.07352941176471,NA,1.14285714285714,1.93048128342246,1.21875,79.8571428571429,83.6,"M","North Region","A Level or Equivalent","30-40%","0-35",0,90,"N","Pass",-56,NA,-56,NA
"73",173412,NA,NA,4,NA,4.84,NA,NA,6.12162162162162,NA,NA,NA,14.1764705882353,NA,1,1.55555555555556,1,84.75,86,"M","North Region","HE Qualification","20-30%","0-35",1,60,"N","Withdrawn",-72,171,-72,171
"74",177492,3.8,4,3.74522292993631,NA,4.66165413533835,1.16666666666667,1,7.02734375,2.16666666666667,1.09090909090909,1.12121212121212,6.34862385321101,NA,1.02469135802469,1.88372093023256,1.23913043478261,86.1428571428571,90.4,"M","West Midlands Region","HE Qualification","10-20","0-35",0,60,"N","Distinction",-22,NA,-22,NA
"75",184627,NA,NA,6.36363636363636,NA,3.5,1,3.5,4.71052631578947,NA,NA,NA,1,NA,2.33333333333333,2.43589743589744,1,NA,32,"F","London Region","HE Qualification","0-10%","35-55",4,240,"N","Withdrawn",-155,12,-155,12
"76",184720,NA,NA,3.31818181818182,NA,3.58974358974359,2,NA,4.46666666666667,NA,1,NA,12.5,NA,1.18181818181818,1.56521739130435,1,89,75,"M","Wales","Lower Than A Level","10-20","0-35",3,60,"N","Fail",-58,NA,-58,NA
"77",185994,4,2,2.66037735849057,NA,3.18556701030928,3,2,6.31489361702128,4.53333333333333,1,1.11111111111111,7.51666666666667,NA,1.06896551724138,1.44915254237288,1.08,92.7142857142857,83.8,"M","East Anglian Region","A Level or Equivalent","20-30%","0-35",0,60,"N","Pass",-114,NA,-114,NA
"78",191504,NA,NA,1.71794871794872,NA,3,1.2,NA,2.73684210526316,NA,NA,1.5,11.3333333333333,NA,1.82352941176471,1.27272727272727,1,NA,76,"M","Ireland","Lower Than A Level","10-20","0-35",0,90,"N","Withdrawn",-53,151,-53,151
"79",194163,4,1,2.41935483870968,NA,3.56451612903226,1.5,NA,6.12623762376238,4.26086956521739,1,1.21739130434783,6.46464646464646,NA,1.36708860759494,1.45622119815668,1.11111111111111,91.7142857142857,88.2,"M","Yorkshire Region","Lower Than A Level","10-20","0-35",0,90,"N","Pass",-31,NA,-31,NA
"80",195246,NA,NA,2.5,NA,3.4811320754717,1.5,1.4,2.15966386554622,2.66666666666667,1.16666666666667,1.16666666666667,12.9830508474576,NA,1.08045977011494,1.66447368421053,1.39285714285714,55.5714285714286,57,"M","West Midlands Region","Lower Than A Level","10-20","0-35",0,60,"N","Fail",-124,NA,-124,NA
"81",195552,2,NA,2.41258741258741,NA,3.73728813559322,1.33333333333333,1.55555555555556,6.51342281879195,1.85714285714286,1.66666666666667,1.09090909090909,14.0503597122302,NA,1.19047619047619,1.53365384615385,1.21052631578947,87.8571428571429,95.8,"M","Yorkshire Region","A Level or Equivalent","20-30%","0-35",1,120,"N","Pass",-88,NA,-88,NA
"82",197536,NA,NA,2.625,1.5,3.3030303030303,2,NA,8.88524590163934,2.2,1.66666666666667,NA,12.5409836065574,NA,1.66666666666667,2.25252525252525,1.33333333333333,69.7142857142857,77,"F","Yorkshire Region","A Level or Equivalent","80-90%","0-35",0,90,"N","Pass",-49,NA,-49,NA
"83",199009,NA,1,2,NA,2.69902912621359,NA,NA,5.792,2.33333333333333,1,1,14.9722222222222,NA,1.1,1.26271186440678,1.21052631578947,90,78.2,"M","Scotland","Lower Than A Level","70-80%","0-35",0,90,"N","Pass",-58,NA,-58,NA
"84",204117,NA,NA,1.94230769230769,NA,5.67567567567568,2,NA,6.64935064935065,3,2,1.5,9.90909090909091,NA,1.2,2.09230769230769,1,79,88,"M","London Region","Lower Than A Level","70-80%","0-35",0,60,"Y","Withdrawn",-66,136,-66,136
"85",226955,NA,NA,2.27397260273973,4,4.8936170212766,1,NA,7.21052631578947,4.33333333333333,1,1.5,14.2272727272727,NA,1.30434782608696,2.15315315315315,1.66666666666667,84.25,79,"M","East Midlands Region","A Level or Equivalent","40-50%","0-35",0,60,"N","Fail",-141,NA,-141,NA
"86",228633,2,NA,2.87309644670051,8.5,3.21052631578947,2.5,NA,4.40760869565217,1.16666666666667,1,NA,5.20833333333333,NA,1.18918918918919,1.4228855721393,1.47619047619048,88.2857142857143,84.8,"M","West Midlands Region","Lower Than A Level","50-60%","0-35",0,110,"N","Pass",-68,NA,-68,NA
"87",229498,3.33333333333333,NA,3.67716535433071,NA,4.05309734513274,1.125,1.85714285714286,8.95939086294416,3.41666666666667,1.2,1.33333333333333,8.58974358974359,NA,1.45454545454545,2.05325443786982,1.27272727272727,72.8571428571429,90,"M","Scotland","A Level or Equivalent","0-10%","0-35",4,60,"N","Pass",-56,NA,-56,NA
"88",230947,NA,NA,2.11111111111111,NA,3,1,NA,3,NA,1,NA,NA,NA,1,1.35714285714286,1,NA,76,"M","North Western Region","Lower Than A Level","40-50%","0-35",0,90,"N","Fail",-128,NA,-128,NA
"89",232173,1.5,NA,3.57766990291262,NA,2.01538461538462,1.33333333333333,2,7.89723320158103,3.17857142857143,1,1.125,8.97402597402597,NA,1.16666666666667,1.67088607594937,1.51282051282051,69.4285714285714,68,"M","North Western Region","Lower Than A Level","30-40%","0-35",0,60,"N","Pass",-142,NA,-142,NA
"90",234661,NA,1,2.64848484848485,NA,4.52884615384615,1.25,NA,7.07894736842105,3.33333333333333,1.5,1.16666666666667,10.3363636363636,NA,1.26923076923077,1.86802030456853,1.3,91.7142857142857,88.4,"M","South Region","Lower Than A Level","80-90%","0-35",1,60,"N","Pass",-18,NA,-18,NA
"91",235747,NA,NA,NA,NA,5.25,1,NA,4.76923076923077,NA,NA,NA,12.6666666666667,NA,1.33333333333333,1.5,NA,61,74,"M","South West Region","A Level or Equivalent","50-60%","0-35",0,60,"N","Withdrawn",-31,12,-31,12
"92",235768,NA,NA,4.07017543859649,NA,4.66666666666667,1.5,3.66666666666667,4,1,1,NA,13.4912280701754,NA,1.46666666666667,2,1.33333333333333,72.1428571428571,83.25,"M","South West Region","A Level or Equivalent","60-70%","35-55",0,60,"N","Pass",-115,NA,-115,NA
"93",235971,1,NA,2.56147540983607,NA,2.96666666666667,4,NA,5.26976744186047,2.25,1,1.375,5.18115942028986,NA,1.11764705882353,1.51388888888889,1.33333333333333,86,87.8,"M","West Midlands Region","A Level or Equivalent","10-20","0-35",0,60,"N","Pass",-107,NA,-107,NA
